Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (GO)	Function [CC]
A0A660DY21	A0A660DY21_9LACO	Manganese import system permease protein ScaB	MUDAN_MDHGFNIF_02858	Lactiplantibacillus mudanjiangensis	289	GO:0010043; GO:0043190; GO:0055085; GO:0071281	ATP-binding cassette (ABC) transporter complex [GO:0043190]; cellular response to iron ion [GO:0071281]; response to zinc ion [GO:0010043]; transmembrane transport [GO:0055085]	
A0A660DY30	A0A660DY30_9LACO	Large ribosomal subunit protein bL34	rpmH MUDAN_MDHGFNIF_00222	Lactiplantibacillus mudanjiangensis	44	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	
A0A660DY60	A0A660DY60_9LACO	Putative hemin import ATP-binding protein HrtA	MUDAN_MDHGFNIF_03104	Lactiplantibacillus mudanjiangensis	224	GO:0005524; GO:0005886; GO:0016887; GO:0022857	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]	FUNCTION: Part of the ABC transporter complex hrt involved in hemin import. Responsible for energy coupling to the transport system. {ECO:0000256|ARBA:ARBA00024721}.
A0A660DY66	A0A660DY66_9LACO	L-lactate permease	MUDAN_MDHGFNIF_02782	Lactiplantibacillus mudanjiangensis	531	GO:0005886; GO:0015129; GO:0015295	plasma membrane [GO:0005886]; lactate transmembrane transporter activity [GO:0015129]; solute:proton symporter activity [GO:0015295]	FUNCTION: Uptake of L-lactate across the membrane. Can also transport D-lactate and glycolate. {ECO:0000256|RuleBase:RU365092}.
A0A660DY81	A0A660DY81_9LACO	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase (EC 2.5.1.145)	lgt MUDAN_MDHGFNIF_00544	Lactiplantibacillus mudanjiangensis	278	GO:0005886; GO:0008961; GO:0042158	plasma membrane [GO:0005886]; phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity [GO:0008961]; lipoprotein biosynthetic process [GO:0042158]	FUNCTION: Catalyzes the transfer of the diacylglyceryl group from phosphatidylglycerol to the sulfhydryl group of the N-terminal cysteine of a prolipoprotein, the first step in the formation of mature lipoproteins. {ECO:0000256|HAMAP-Rule:MF_01147}.
A0A660DY92	A0A660DY92_9LACO	histidine kinase (EC 2.7.13.3)	MUDAN_MDHGFNIF_00554	Lactiplantibacillus mudanjiangensis	475	GO:0000155; GO:0004721; GO:0005886; GO:0016036	plasma membrane [GO:0005886]; phosphoprotein phosphatase activity [GO:0004721]; phosphorelay sensor kinase activity [GO:0000155]; cellular response to phosphate starvation [GO:0016036]	
A0A660DYB2	A0A660DYB2_9LACO	Metal uptake regulator [Lactobacillus plantarum JDM1]	MUDAN_MDHGFNIF_00440	Lactiplantibacillus mudanjiangensis	147	GO:0000976; GO:0003700; GO:0005737; GO:0008270; GO:0045892; GO:1900376	cytoplasm [GO:0005737]; DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of secondary metabolite biosynthetic process [GO:1900376]	
A0A660DYD0	A0A660DYD0_9LACO	Replication initiation control protein YabA	yabA MUDAN_MDHGFNIF_00584	Lactiplantibacillus mudanjiangensis	113	GO:0006260; GO:0008156; GO:0008270; GO:0043590	bacterial nucleoid [GO:0043590]; zinc ion binding [GO:0008270]; DNA replication [GO:0006260]; negative regulation of DNA replication [GO:0008156]	FUNCTION: Involved in control of chromosome replication initiation. Inhibits the cooperative binding of DnaA to the oriC region, thus negatively regulating initiation of chromosome replication. Inhibits the ability of DnaA-ATP to form a helix on DNA; does not disassemble preformed DnaA-DNA helices. Decreases the residence time of DnaA on the chromosome at its binding sites (oriC, replication forks and promoter-binding sites). Tethers DnaA to the replication machinery via the DNA polymerase beta sliding clamp subunit (dnaN). Associates with oriC and other DnaA targets on the chromosome in a DnaA-dependent manner. {ECO:0000256|HAMAP-Rule:MF_01159}.
A0A660DYD9	A0A660DYD9_9LACO	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	MUDAN_MDHGFNIF_00594	Lactiplantibacillus mudanjiangensis	721	GO:0004748; GO:0005524; GO:0005971; GO:0009263	ribonucleoside-diphosphate reductase complex [GO:0005971]; ATP binding [GO:0005524]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; deoxyribonucleotide biosynthetic process [GO:0009263]	FUNCTION: Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides. {ECO:0000256|RuleBase:RU003410}.
A0A660DYF0	A0A660DYF0_9LACO	Diadenylate cyclase (DAC) (EC 2.7.7.85) (Cyclic-di-AMP synthase) (c-di-AMP synthase)	dacA MUDAN_MDHGFNIF_00481	Lactiplantibacillus mudanjiangensis	280	GO:0004016; GO:0005524; GO:0006171; GO:0106408	adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]; diadenylate cyclase activity [GO:0106408]; cAMP biosynthetic process [GO:0006171]	FUNCTION: Catalyzes the condensation of 2 ATP molecules into cyclic di-AMP (c-di-AMP), a second messenger used to regulate differing processes in different bacteria. {ECO:0000256|HAMAP-Rule:MF_01499}.
A0A660DYF1	A0A660DYF1_9LACO	Transcription termination/antitermination protein NusG	nusG MUDAN_MDHGFNIF_00604	Lactiplantibacillus mudanjiangensis	182	GO:0005829; GO:0006353; GO:0006354; GO:0031564; GO:0032784	cytosol [GO:0005829]; DNA-templated transcription elongation [GO:0006354]; DNA-templated transcription termination [GO:0006353]; regulation of DNA-templated transcription elongation [GO:0032784]; transcription antitermination [GO:0031564]	FUNCTION: Participates in transcription elongation, termination and antitermination. {ECO:0000256|HAMAP-Rule:MF_00948, ECO:0000256|RuleBase:RU000538}.
A0A660DYF8	A0A660DYF8_9LACO	Exodeoxyribonuclease III (EC 3.1.11.2)	MUDAN_MDHGFNIF_00487	Lactiplantibacillus mudanjiangensis	251	GO:0003677; GO:0003906; GO:0006284; GO:0008081; GO:0008311	DNA binding [GO:0003677]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; double-stranded DNA 3'-5' DNA exonuclease activity [GO:0008311]; phosphoric diester hydrolase activity [GO:0008081]; base-excision repair [GO:0006284]	
A0A660DYG2	A0A660DYG2_9LACO	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)	MUDAN_MDHGFNIF_00491	Lactiplantibacillus mudanjiangensis	326	GO:0008959	phosphate acetyltransferase activity [GO:0008959]	
A0A660DYG3	A0A660DYG3_9LACO	DNA repair protein RadA	radA MUDAN_MDHGFNIF_00614	Lactiplantibacillus mudanjiangensis	457	GO:0000725; GO:0003684; GO:0005524; GO:0005829; GO:0140664	cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; damaged DNA binding [GO:0003684]; recombinational repair [GO:0000725]	FUNCTION: DNA-dependent ATPase involved in processing of recombination intermediates, plays a role in repairing DNA breaks. Stimulates the branch migration of RecA-mediated strand transfer reactions, allowing the 3' invading strand to extend heteroduplex DNA faster. Binds ssDNA in the presence of ADP but not other nucleotides, has ATPase activity that is stimulated by ssDNA and various branched DNA structures, but inhibited by SSB. Does not have RecA's homology-searching function. {ECO:0000256|RuleBase:RU003555}.; FUNCTION: Plays a role in repairing double-strand DNA breaks, probably involving stabilizing or processing branched DNA or blocked replication forks. {ECO:0000256|HAMAP-Rule:MF_01498}.
A0A660DYI0	A0A660DYI0_9LACO	Protein-export membrane protein SecG	MUDAN_MDHGFNIF_00501	Lactiplantibacillus mudanjiangensis	78	GO:0005886; GO:0009306; GO:0015450; GO:0043952; GO:0065002	plasma membrane [GO:0005886]; protein-transporting ATPase activity [GO:0015450]; intracellular protein transmembrane transport [GO:0065002]; protein secretion [GO:0009306]; protein transport by the Sec complex [GO:0043952]	FUNCTION: Involved in protein export. Participates in an early event of protein translocation. {ECO:0000256|RuleBase:RU365087}.
A0A660DYI3	A0A660DYI3_9LACO	ribonuclease H (EC 3.1.26.4)	MUDAN_MDHGFNIF_02882	Lactiplantibacillus mudanjiangensis	297	GO:0003676; GO:0004523; GO:0043137	nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; DNA replication, removal of RNA primer [GO:0043137]	FUNCTION: Endonuclease that specifically degrades the RNA of RNA-DNA hybrids. {ECO:0000256|ARBA:ARBA00004065}.
A0A660DYJ4	A0A660DYJ4_9LACO	Permease IIC component	MUDAN_MDHGFNIF_00055	Lactiplantibacillus mudanjiangensis	454	GO:0005886; GO:0008982; GO:0009401; GO:1902815	plasma membrane [GO:0005886]; protein-N(PI)-phosphohistidine-carbohydrate phosphotransferase activity [GO:0008982]; N,N'-diacetylchitobiose import [GO:1902815]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	FUNCTION: The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS), a major carbohydrate active -transport system, catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane. {ECO:0000256|PIRNR:PIRNR006351}.
A0A660DYK5	A0A660DYK5_9LACO	D-alanyl-D-alanine dipeptidase (D-Ala-D-Ala dipeptidase) (EC 3.4.13.22)	MUDAN_MDHGFNIF_00528	Lactiplantibacillus mudanjiangensis	185	GO:0006508; GO:0008237; GO:0160237	D-Ala-D-Ala dipeptidase activity [GO:0160237]; metallopeptidase activity [GO:0008237]; proteolysis [GO:0006508]	FUNCTION: Catalyzes hydrolysis of the D-alanyl-D-alanine dipeptide. {ECO:0000256|HAMAP-Rule:MF_01924, ECO:0000256|PIRNR:PIRNR026671}.
A0A660DYL1	A0A660DYL1_9LACO	Thioredoxin reductase (EC 1.8.1.9)	MUDAN_MDHGFNIF_00532	Lactiplantibacillus mudanjiangensis	312	GO:0004791; GO:0005737; GO:0019430	cytoplasm [GO:0005737]; thioredoxin-disulfide reductase (NADPH) activity [GO:0004791]; removal of superoxide radicals [GO:0019430]	
A0A660DYL2	A0A660DYL2_9LACO	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP MUDAN_MDHGFNIF_00413	Lactiplantibacillus mudanjiangensis	275	GO:0005886; GO:0046677; GO:0050380	plasma membrane [GO:0005886]; undecaprenyl-diphosphatase activity [GO:0050380]; response to antibiotic [GO:0046677]	FUNCTION: Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin. {ECO:0000256|HAMAP-Rule:MF_01006}.
A0A660DYM0	A0A660DYM0_9LACO	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase)	MUDAN_MDHGFNIF_00542	Lactiplantibacillus mudanjiangensis	304	GO:0003983; GO:0006011	UTP:glucose-1-phosphate uridylyltransferase activity [GO:0003983]; UDP-alpha-D-glucose metabolic process [GO:0006011]	
A0A660DYM6	A0A660DYM6_9LACO	Phosphate-specific transport system accessory protein PhoU	MUDAN_MDHGFNIF_00548	Lactiplantibacillus mudanjiangensis	224	GO:0005737; GO:0030643; GO:0045936	cytoplasm [GO:0005737]; intracellular phosphate ion homeostasis [GO:0030643]; negative regulation of phosphate metabolic process [GO:0045936]	FUNCTION: Plays a role in the regulation of phosphate uptake. {ECO:0000256|PIRNR:PIRNR003107}.
A0A660DYM9	A0A660DYM9_9LACO	Glutamate decarboxylase (EC 4.1.1.15)	MUDAN_MDHGFNIF_02074	Lactiplantibacillus mudanjiangensis	469	GO:0004058; GO:0004351; GO:0005829; GO:0006538; GO:0030170	cytosol [GO:0005829]; aromatic-L-amino-acid decarboxylase activity [GO:0004058]; glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; L-glutamate catabolic process [GO:0006538]	
A0A660DYN2	A0A660DYN2_9LACO	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	zwf MUDAN_MDHGFNIF_02922	Lactiplantibacillus mudanjiangensis	499	GO:0004345; GO:0005829; GO:0006006; GO:0009051; GO:0050661	cytosol [GO:0005829]; glucose-6-phosphate dehydrogenase activity [GO:0004345]; NADP binding [GO:0050661]; glucose metabolic process [GO:0006006]; pentose-phosphate shunt, oxidative branch [GO:0009051]	FUNCTION: Catalyzes the oxidation of glucose 6-phosphate to 6-phosphogluconolactone. {ECO:0000256|HAMAP-Rule:MF_00966}.
A0A660DYN3	A0A660DYN3_9LACO	Phosphate transport system permease protein	MUDAN_MDHGFNIF_00552	Lactiplantibacillus mudanjiangensis	309	GO:0005315; GO:0005886; GO:0006817	plasma membrane [GO:0005886]; phosphate transmembrane transporter activity [GO:0005315]; phosphate ion transport [GO:0006817]	FUNCTION: Part of the binding protein-dependent transport system for phosphate; probably responsible for the translocation of the substrate across the membrane. {ECO:0000256|RuleBase:RU363054}.
A0A660DYN6	A0A660DYN6_9LACO	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	MUDAN_MDHGFNIF_00685	Lactiplantibacillus mudanjiangensis	378	GO:0006046; GO:0008448	N-acetylglucosamine-6-phosphate deacetylase activity [GO:0008448]; N-acetylglucosamine catabolic process [GO:0006046]	
A0A660DYN7	A0A660DYN7_9LACO	Dihydropteroate synthase (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	MUDAN_MDHGFNIF_02084	Lactiplantibacillus mudanjiangensis	383	GO:0004156; GO:0005829; GO:0046654	cytosol [GO:0005829]; dihydropteroate synthase activity [GO:0004156]; tetrahydrofolate biosynthetic process [GO:0046654]	
A0A660DYQ0	A0A660DYQ0_9LACO	Di-/tripeptide transporter	MUDAN_MDHGFNIF_00697	Lactiplantibacillus mudanjiangensis	490	GO:0005886; GO:0015333; GO:0035443; GO:0042937; GO:0071916	plasma membrane [GO:0005886]; dipeptide transmembrane transporter activity [GO:0071916]; peptide:proton symporter activity [GO:0015333]; tripeptide transmembrane transporter activity [GO:0042937]; tripeptide transmembrane transport [GO:0035443]	FUNCTION: Proton-dependent uptake of di- or tri-peptides. {ECO:0000256|ARBA:ARBA00059575}.
A0A660DYQ3	A0A660DYQ3_9LACO	[Ribosomal protein bS18]-alanine N-acetyltransferase (EC 2.3.1.266)	MUDAN_MDHGFNIF_00572	Lactiplantibacillus mudanjiangensis	152	GO:0005737; GO:0008999	cytoplasm [GO:0005737]; protein-N-terminal-alanine acetyltransferase activity [GO:0008999]	FUNCTION: Acetylates the N-terminal alanine of ribosomal protein bS18. {ECO:0000256|RuleBase:RU363094}.
A0A660DYQ6	A0A660DYQ6_9LACO	Recombination protein RecR	recR MUDAN_MDHGFNIF_00588	Lactiplantibacillus mudanjiangensis	199	GO:0003677; GO:0006281; GO:0006310; GO:0046872	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]	FUNCTION: May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO. {ECO:0000256|HAMAP-Rule:MF_00017}.
A0A660DYQ9	A0A660DYQ9_9LACO	FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase)	MUDAN_MDHGFNIF_00105	Lactiplantibacillus mudanjiangensis	316	GO:0046872; GO:7770036	flavin transferase activity [GO:7770036]; metal ion binding [GO:0046872]	
A0A660DYT0	A0A660DYT0_9LACO	Aminopeptidase	MUDAN_MDHGFNIF_00618	Lactiplantibacillus mudanjiangensis	443	GO:0005737; GO:0006508; GO:0009636; GO:0043418; GO:0070005	cytoplasm [GO:0005737]; cysteine-type aminopeptidase activity [GO:0070005]; L-homocysteine catabolic process [GO:0043418]; proteolysis [GO:0006508]; response to toxic substance [GO:0009636]	
A0A660DYU1	A0A660DYU1_9LACO	Large ribosomal subunit protein uL11	rplK MUDAN_MDHGFNIF_00602	Lactiplantibacillus mudanjiangensis	141	GO:0003735; GO:0006412; GO:0022625; GO:0070180	cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	FUNCTION: Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. {ECO:0000256|HAMAP-Rule:MF_00736, ECO:0000256|RuleBase:RU003979}.
A0A660DYV0	A0A660DYV0_9LACO	CRISPR-associated endonuclease Cas1 (EC 3.1.-.-)	cas1 MUDAN_MDHGFNIF_00135	Lactiplantibacillus mudanjiangensis	317	GO:0003676; GO:0004520; GO:0043571; GO:0046872; GO:0051607	DNA endonuclease activity [GO:0004520]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; defense response to virus [GO:0051607]; maintenance of CRISPR repeat elements [GO:0043571]	FUNCTION: CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain spacers, sequences complementary to antecedent mobile elements, and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Acts as a dsDNA endonuclease. Involved in the integration of spacer DNA into the CRISPR cassette. {ECO:0000256|HAMAP-Rule:MF_01470}.
A0A660DYX7	A0A660DYX7_9LACO	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase (EC 2.4.1.187) (N-acetylmannosaminyltransferase) (UDP-N-acetylmannosamine transferase) (UDP-N-acetylmannosamine:N-acetylglucosaminyl pyrophosphorylundecaprenol N-acetylmannosaminyltransferase)	MUDAN_MDHGFNIF_00679	Lactiplantibacillus mudanjiangensis	244	GO:0019350; GO:0047244	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase activity [GO:0047244]; teichoic acid biosynthetic process [GO:0019350]	FUNCTION: Catalyzes the conversion of GlcNAc-PP-undecaprenol into ManNAc-GlcNAc-PP-undecaprenol, the first committed lipid intermediate in the de novo synthesis of teichoic acid. {ECO:0000256|HAMAP-Rule:MF_02070}.
A0A660DYZ5	A0A660DYZ5_9LACO	Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-)	mfd MUDAN_MDHGFNIF_00711	Lactiplantibacillus mudanjiangensis	1175	GO:0000716; GO:0003678; GO:0003684; GO:0005524; GO:0005737; GO:0006355	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; damaged DNA binding [GO:0003684]; DNA helicase activity [GO:0003678]; regulation of DNA-templated transcription [GO:0006355]; transcription-coupled nucleotide-excision repair, DNA damage recognition [GO:0000716]	FUNCTION: Couples transcription and DNA repair by recognizing RNA polymerase (RNAP) stalled at DNA lesions. Mediates ATP-dependent release of RNAP and its truncated transcript from the DNA, and recruitment of nucleotide excision repair machinery to the damaged site. {ECO:0000256|HAMAP-Rule:MF_00969}.
A0A660DYZ6	A0A660DYZ6_9LACO	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribH MUDAN_MDHGFNIF_02222	Lactiplantibacillus mudanjiangensis	155	GO:0000906; GO:0005829; GO:0009231; GO:0009349	cytosol [GO:0005829]; riboflavin synthase complex [GO:0009349]; 6,7-dimethyl-8-ribityllumazine synthase activity [GO:0000906]; riboflavin biosynthetic process [GO:0009231]	FUNCTION: Catalyzes the formation of 6,7-dimethyl-8-ribityllumazine by condensation of 5-amino-6-(D-ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin. {ECO:0000256|HAMAP-Rule:MF_00178}.
A0A660DZ01	A0A660DZ01_9LACO	Translation initiation factor IF-2	infB MUDAN_MDHGFNIF_03038	Lactiplantibacillus mudanjiangensis	852	GO:0003743; GO:0003924; GO:0005525; GO:0005829	cytosol [GO:0005829]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation initiation factor activity [GO:0003743]	FUNCTION: One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex. {ECO:0000256|ARBA:ARBA00025162, ECO:0000256|HAMAP-Rule:MF_00100, ECO:0000256|RuleBase:RU000644}.
A0A660DZ05	A0A660DZ05_9LACO	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase)	argC MUDAN_MDHGFNIF_00721	Lactiplantibacillus mudanjiangensis	342	GO:0003942; GO:0005737; GO:0006526; GO:0051287; GO:0070401	cytoplasm [GO:0005737]; N-acetyl-gamma-glutamyl-phosphate reductase activity [GO:0003942]; NAD binding [GO:0051287]; NADP+ binding [GO:0070401]; L-arginine biosynthetic process [GO:0006526]	FUNCTION: Catalyzes the NADPH-dependent reduction of N-acetyl-5-glutamyl phosphate to yield N-acetyl-L-glutamate 5-semialdehyde. {ECO:0000256|HAMAP-Rule:MF_00150}.
A0A660DZ09	A0A660DZ09_9LACO	Transcriptional regulatory protein WalR	MUDAN_MDHGFNIF_00175	Lactiplantibacillus mudanjiangensis	235	GO:0000156; GO:0000976; GO:0005829; GO:0006355; GO:0006633; GO:0032993	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]; fatty acid biosynthetic process [GO:0006633]; regulation of DNA-templated transcription [GO:0006355]	FUNCTION: Member of the two-component regulatory system WalK/WalR that regulates genes involved in cell wall metabolism. Binds to the promoter region of the transcription factor fabT gene in the fabTH-acp operon in vitro. Inhibits transcription of fabT, probably acting in an unphosphorylated form, thereby playing a role in the regulation of fatty acid biosynthesis. Essential for normal growth in vitro. Required for maintaining normal cellular morphology, acting, at least in part, by regulating peptidoglycan hydrolase pcsB. Involved in maintaining expression of WalRK regulon genes in exponentially growing cells. {ECO:0000256|ARBA:ARBA00058568}.
A0A660DZ10	A0A660DZ10_9LACO	Protease HtpX homolog (EC 3.4.24.-)	htpX MUDAN_MDHGFNIF_00731	Lactiplantibacillus mudanjiangensis	300	GO:0004222; GO:0005886; GO:0006508; GO:0008270	plasma membrane [GO:0005886]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]	
A0A660DZ15	A0A660DZ15_9LACO	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	frr MUDAN_MDHGFNIF_03048	Lactiplantibacillus mudanjiangensis	187	GO:0005737; GO:0006415; GO:0043023	cytoplasm [GO:0005737]; ribosomal large subunit binding [GO:0043023]; translational termination [GO:0006415]	FUNCTION: Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another. {ECO:0000256|HAMAP-Rule:MF_00040}.
A0A660DZ24	A0A660DZ24_9LACO	Protein SprT-like	MUDAN_MDHGFNIF_00673	Lactiplantibacillus mudanjiangensis	149	GO:0005737; GO:0006950; GO:0008270	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]; response to stress [GO:0006950]	
A0A660DZ28	A0A660DZ28_9LACO	Signal peptidase I (EC 3.4.21.89)	MUDAN_MDHGFNIF_02262	Lactiplantibacillus mudanjiangensis	202	GO:0004252; GO:0005886; GO:0006508; GO:0009003	plasma membrane [GO:0005886]; serine-type endopeptidase activity [GO:0004252]; signal peptidase activity [GO:0009003]; proteolysis [GO:0006508]	
A0A660DZ42	A0A660DZ42_9LACO	DNA/RNA non-specific endonuclease [Lactobacillus sp.]	MUDAN_MDHGFNIF_02282	Lactiplantibacillus mudanjiangensis	312	GO:0003676; GO:0016787; GO:0046872	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]	
A0A660DZ45	A0A660DZ45_9LACO	Branched-chain amino acid transport system carrier protein	MUDAN_MDHGFNIF_00771	Lactiplantibacillus mudanjiangensis	458	GO:0005304; GO:0005886; GO:0015188; GO:0015190; GO:0015818; GO:0015820	plasma membrane [GO:0005886]; L-isoleucine transmembrane transporter activity [GO:0015188]; L-leucine transmembrane transporter activity [GO:0015190]; L-valine transmembrane transporter activity [GO:0005304]; isoleucine transport [GO:0015818]; L-leucine transport [GO:0015820]	FUNCTION: Component of the transport system for branched-chain amino acids. {ECO:0000256|RuleBase:RU362122}.
A0A660DZ53	A0A660DZ53_9LACO	Protein GrpE (HSP-70 cofactor)	grpE MUDAN_MDHGFNIF_03032	Lactiplantibacillus mudanjiangensis	191	GO:0000774; GO:0005737; GO:0006457; GO:0042803; GO:0051087	cytoplasm [GO:0005737]; adenyl-nucleotide exchange factor activity [GO:0000774]; protein homodimerization activity [GO:0042803]; protein-folding chaperone binding [GO:0051087]; protein folding [GO:0006457]	FUNCTION: Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ; upon interaction with the DnaJ-bound protein, DnaK hydrolyzes its bound ATP, resulting in the formation of a stable complex. GrpE releases ADP from DnaK; ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. {ECO:0000256|ARBA:ARBA00053401, ECO:0000256|HAMAP-Rule:MF_01151, ECO:0000256|RuleBase:RU000639}.
A0A660DZ57	A0A660DZ57_9LACO	Ribosome maturation factor RimP	rimP MUDAN_MDHGFNIF_03042	Lactiplantibacillus mudanjiangensis	158	GO:0000028; GO:0005829; GO:0006412	cytosol [GO:0005829]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	FUNCTION: Required for maturation of 30S ribosomal subunits. {ECO:0000256|HAMAP-Rule:MF_01077}.
A0A660DZ92	A0A660DZ92_9LACO	Histidine phosphatase family protein	MUDAN_MDHGFNIF_03082	Lactiplantibacillus mudanjiangensis	236	GO:0004331; GO:0005829; GO:0043456; GO:0045820	cytosol [GO:0005829]; fructose-2,6-bisphosphate 2-phosphatase activity [GO:0004331]; negative regulation of glycolytic process [GO:0045820]; regulation of pentose-phosphate shunt [GO:0043456]	
A0A660DZB8	A0A660DZB8_9LACO	Histidinol-phosphatase (HolPase) (EC 3.1.3.15)	MUDAN_MDHGFNIF_02380	Lactiplantibacillus mudanjiangensis	278	GO:0000105; GO:0004401; GO:0005737	cytoplasm [GO:0005737]; histidinol-phosphatase activity [GO:0004401]; L-histidine biosynthetic process [GO:0000105]	
A0A660DZC0	A0A660DZC0_9LACO	Large ribosomal subunit protein bL33	rpmG MUDAN_MDHGFNIF_00606	Lactiplantibacillus mudanjiangensis	49	GO:0003735; GO:0005737; GO:0005840; GO:0006412	cytoplasm [GO:0005737]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	
A0A660DZC5	A0A660DZC5_9LACO	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	hisC MUDAN_MDHGFNIF_02390	Lactiplantibacillus mudanjiangensis	358	GO:0000105; GO:0004400; GO:0030170	L-histidinol-phosphate:2-oxoglutarate transaminase activity [GO:0004400]; pyridoxal phosphate binding [GO:0030170]; L-histidine biosynthetic process [GO:0000105]	
