Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (GO)
B7JPK2	GPMA_BACC0	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)	gpmA BCAH820_2509	Bacillus cereus (strain AH820)	245	GO:0004619; GO:0006094; GO:0006096	phosphoglycerate mutase activity [GO:0004619]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]
B7JPM3	IOLD_BACC0	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase (THcHDO hydrolase) (EC 3.7.1.22)	iolD BCAH820_2530	Bacillus cereus (strain AH820)	644	GO:0000287; GO:0003984; GO:0005948; GO:0009099; GO:0019310; GO:0030976; GO:0050660; GO:0102481	acetolactate synthase complex [GO:0005948]; 3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase activity [GO:0102481]; acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]; inositol catabolic process [GO:0019310]; L-valine biosynthetic process [GO:0009099]
B7JPY8	SYDND_BACC0	Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS)	aspS BCAH820_4482	Bacillus cereus (strain AH820)	591	GO:0003676; GO:0004815; GO:0005524; GO:0005737; GO:0006422; GO:0016740; GO:0050560; GO:0140096	cytoplasm [GO:0005737]; aspartate-tRNA ligase activity [GO:0004815]; aspartate-tRNA(Asn) ligase activity [GO:0050560]; ATP binding [GO:0005524]; catalytic activity, acting on a protein [GO:0140096]; nucleic acid binding [GO:0003676]; transferase activity [GO:0016740]; aspartyl-tRNA aminoacylation [GO:0006422]
B7JPZ2	DTD_BACC0	D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (Gly-tRNA(Ala) deacylase)	dtd BCAH820_4486	Bacillus cereus (strain AH820)	146	GO:0000049; GO:0005737; GO:0019478; GO:0043908; GO:0051500; GO:0106026	cytoplasm [GO:0005737]; D-tyrosyl-tRNA(Tyr) deacylase activity [GO:0051500]; Gly-tRNA(Ala) deacylase activity [GO:0106026]; Ser(Gly)-tRNA(Ala) hydrolase activity [GO:0043908]; tRNA binding [GO:0000049]; D-amino acid catabolic process [GO:0019478]
B7JPZ4	APT_BACC0	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt BCAH820_4488	Bacillus cereus (strain AH820)	170	GO:0002055; GO:0003999; GO:0005737; GO:0006168; GO:0016208; GO:0044209	cytoplasm [GO:0005737]; adenine binding [GO:0002055]; adenine phosphoribosyltransferase activity [GO:0003999]; AMP binding [GO:0016208]; adenine salvage [GO:0006168]; AMP salvage [GO:0044209]
B7JQ03	TGT_BACC0	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt BCAH820_4497	Bacillus cereus (strain AH820)	379	GO:0005829; GO:0008479; GO:0008616	cytosol [GO:0005829]; tRNA-guanosine(34) queuine transglycosylase activity [GO:0008479]; tRNA queuosine(34) biosynthetic process [GO:0008616]
B7JQ26	OBG_BACC0	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	obg BCAH820_4520	Bacillus cereus (strain AH820)	428	GO:0000287; GO:0003924; GO:0005525; GO:0005737; GO:0042254	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; magnesium ion binding [GO:0000287]; ribosome biogenesis [GO:0042254]
B7JQ48	NTPPA_BACC0	dTTP/UTP pyrophosphatase (dTTPase/UTPase) (EC 3.6.1.9) (Nucleoside triphosphate pyrophosphatase) (Nucleotide pyrophosphatase) (Nucleotide PPase)	maf BCAH820_4542	Bacillus cereus (strain AH820)	191	GO:0005737; GO:0036218; GO:0036221	cytoplasm [GO:0005737]; dTTP diphosphatase activity [GO:0036218]; UTP diphosphatase activity [GO:0036221]
B7JQ57	HEM3_BACC0	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	hemC BCAH820_4551	Bacillus cereus (strain AH820)	309	GO:0004418; GO:0005737; GO:0006783	cytoplasm [GO:0005737]; hydroxymethylbilane synthase activity [GO:0004418]; heme biosynthetic process [GO:0006783]
B7JQ59	HEM1_BACC0	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	hemA BCAH820_4553	Bacillus cereus (strain AH820)	444	GO:0006779; GO:0008883; GO:0050661	glutamyl-tRNA reductase activity [GO:0008883]; NADP binding [GO:0050661]; porphyrin-containing compound biosynthetic process [GO:0006779]
B7JQ66	TIG_BACC0	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig BCAH820_4560	Bacillus cereus (strain AH820)	425	GO:0003755; GO:0005737; GO:0015031; GO:0043022; GO:0043335; GO:0044183; GO:0051083	cytoplasm [GO:0005737]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding chaperone [GO:0044183]; ribosome binding [GO:0043022]; 'de novo' cotranslational protein folding [GO:0051083]; protein transport [GO:0015031]; protein unfolding [GO:0043335]
B7JQ74	RNPH_BACC0	Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	rph BCAH820_4571	Bacillus cereus (strain AH820)	245	GO:0000049; GO:0000175; GO:0008033; GO:0009022; GO:0016075; GO:0031125	3'-5'-RNA exonuclease activity [GO:0000175]; tRNA binding [GO:0000049]; tRNA nucleotidyltransferase activity [GO:0009022]; rRNA 3'-end processing [GO:0031125]; rRNA catabolic process [GO:0016075]; tRNA processing [GO:0008033]
B7JQF1	RBSD_BACC0	D-ribose pyranase (EC 5.4.99.62)	rbsD BCAH820_0723	Bacillus cereus (strain AH820)	131	GO:0005829; GO:0016872; GO:0019303; GO:0048029; GO:0062193	cytosol [GO:0005829]; D-ribose pyranase activity [GO:0062193]; intramolecular lyase activity [GO:0016872]; monosaccharide binding [GO:0048029]; D-ribose catabolic process [GO:0019303]
B7JR48	HDOX_BACC0	Heme-degrading monooxygenase (EC 1.14.14.18) (Heme oxygenase) (Iron-regulated surface determinant) (Iron-responsive surface determinant)	isdG BCAH820_4656	Bacillus cereus (strain AH820)	107	GO:0004392; GO:0005506; GO:0005737; GO:0020037; GO:0033212; GO:0042167	cytoplasm [GO:0005737]; heme binding [GO:0020037]; heme oxygenase (decyclizing) activity [GO:0004392]; iron ion binding [GO:0005506]; heme catabolic process [GO:0042167]; iron import into cell [GO:0033212]
B7JR57	MUTS2_BACC0	Endonuclease MutS2 (EC 3.1.-.-) (Ribosome-associated protein quality control-upstream factor) (RQC-upstream factor) (RqcU) (EC 3.6.4.-)	mutS2 rqcU BCAH820_4665	Bacillus cereus (strain AH820)	786	GO:0004519; GO:0005524; GO:0006298; GO:0016887; GO:0019843; GO:0030983; GO:0043023; GO:0045910; GO:0072344; GO:0140664	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; endonuclease activity [GO:0004519]; mismatched DNA binding [GO:0030983]; ribosomal large subunit binding [GO:0043023]; rRNA binding [GO:0019843]; mismatch repair [GO:0006298]; negative regulation of DNA recombination [GO:0045910]; rescue of stalled cytosolic ribosome [GO:0072344]
B7JR67	SYFA_BACC0	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	pheS BCAH820_4675	Bacillus cereus (strain AH820)	344	GO:0000049; GO:0000287; GO:0004826; GO:0005524; GO:0005737; GO:0006432; GO:0016740; GO:0140096	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; catalytic activity, acting on a protein [GO:0140096]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; transferase activity [GO:0016740]; tRNA binding [GO:0000049]; phenylalanyl-tRNA aminoacylation [GO:0006432]
B7JRB1	THIG_BACC0	Thiazole synthase (EC 2.8.1.10)	thiG BCAH820_0809	Bacillus cereus (strain AH820)	256	GO:0005737; GO:0009229; GO:1990107	cytoplasm [GO:0005737]; thiazole synthase activity [GO:1990107]; thiamine diphosphate biosynthetic process [GO:0009229]
B7JRB8	KDPB_BACC0	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	kdpB BCAH820_0816	Bacillus cereus (strain AH820)	697	GO:0000287; GO:0005524; GO:0005886; GO:0008556; GO:0016887	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; magnesium ion binding [GO:0000287]; P-type potassium transmembrane transporter activity [GO:0008556]
B7JRX3	ACCA_BACC0	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA BCAH820_4715	Bacillus cereus (strain AH820)	324	GO:0003989; GO:0006633; GO:0009317; GO:0016743; GO:2001295	acetyl-CoA carboxylase complex [GO:0009317]; acetyl-CoA carboxylase activity [GO:0003989]; carboxyl- or carbamoyltransferase activity [GO:0016743]; fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]
B7JRX4	ACCD_BACC0	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD BCAH820_4716	Bacillus cereus (strain AH820)	289	GO:0003989; GO:0006633; GO:0008270; GO:0009317; GO:0016743; GO:2001295	acetyl-CoA carboxylase complex [GO:0009317]; acetyl-CoA carboxylase activity [GO:0003989]; carboxyl- or carbamoyltransferase activity [GO:0016743]; zinc ion binding [GO:0008270]; fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]
B7JS06	ASSY_BACC0	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	argG BCAH820_4748	Bacillus cereus (strain AH820)	401	GO:0000050; GO:0004055; GO:0005524; GO:0005737; GO:0006526	cytoplasm [GO:0005737]; argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]; L-arginine biosynthetic process [GO:0006526]; urea cycle [GO:0000050]
B7JS23	THII_BACC0	Probable tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI BCAH820_4765	Bacillus cereus (strain AH820)	404	GO:0000049; GO:0002937; GO:0004810; GO:0005524; GO:0005829; GO:0009229; GO:0052837; GO:0140741	cytosol [GO:0005829]; ATP binding [GO:0005524]; CCA tRNA nucleotidyltransferase activity [GO:0004810]; tRNA binding [GO:0000049]; tRNA-uracil-4 sulfurtransferase activity [GO:0140741]; thiamine diphosphate biosynthetic process [GO:0009229]; thiazole biosynthetic process [GO:0052837]; tRNA 4-thiouridine biosynthesis [GO:0002937]
B7JSA1	MURQ_BACC0	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)	murQ BCAH820_0918	Bacillus cereus (strain AH820)	294	GO:0009254; GO:0016803; GO:0016835; GO:0046348; GO:0097173; GO:0097367	carbohydrate derivative binding [GO:0097367]; carbon-oxygen lyase activity [GO:0016835]; ether hydrolase activity [GO:0016803]; amino sugar catabolic process [GO:0046348]; N-acetylmuramic acid catabolic process [GO:0097173]; peptidoglycan turnover [GO:0009254]
B7JSQ5	COAW_BACC0	Type II pantothenate kinase (EC 2.7.1.33) (PanK-II) (Pantothenic acid kinase)	coaW BCAH820_2903	Bacillus cereus (strain AH820)	276	GO:0004594; GO:0005524; GO:0005829; GO:0015937	cytosol [GO:0005829]; ATP binding [GO:0005524]; pantothenate kinase activity [GO:0004594]; coenzyme A biosynthetic process [GO:0015937]
B7JSV5	AROA_BACC0	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA BCAH820_2953	Bacillus cereus (strain AH820)	429	GO:0003866; GO:0005737; GO:0009073; GO:0009423	cytoplasm [GO:0005737]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]
B7JT28	MOBA_BACC0	Probable molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase)	mobA BCAH820_4882	Bacillus cereus (strain AH820)	200	GO:0005525; GO:0005737; GO:0006777; GO:0061603	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; molybdenum cofactor guanylyltransferase activity [GO:0061603]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]
B7JT32	METK_BACC0	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK BCAH820_4886	Bacillus cereus (strain AH820)	399	GO:0000287; GO:0004478; GO:0005524; GO:0005737; GO:0006556	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; methionine adenosyltransferase activity [GO:0004478]; S-adenosylmethionine biosynthetic process [GO:0006556]
B9IR64	MURQ_BACCQ	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)	murQ BCQ_0909	Bacillus cereus (strain Q1)	294	GO:0009254; GO:0016803; GO:0016835; GO:0046348; GO:0097173; GO:0097367	carbohydrate derivative binding [GO:0097367]; carbon-oxygen lyase activity [GO:0016835]; ether hydrolase activity [GO:0016803]; amino sugar catabolic process [GO:0046348]; N-acetylmuramic acid catabolic process [GO:0097173]; peptidoglycan turnover [GO:0009254]
B9IRS5	NUOK_BACCQ	NADH-quinone oxidoreductase subunit K (EC 7.1.1.-) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)	nuoK BCQ_5133	Bacillus cereus (strain Q1)	104	GO:0005886; GO:0030964; GO:0042773; GO:0050136	NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; NADH dehydrogenase (quinone) (non-electrogenic) activity [GO:0050136]; ATP synthesis coupled electron transport [GO:0042773]
B9IRS8	NUOH_BACCQ	NADH-quinone oxidoreductase subunit H (EC 7.1.1.-) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	nuoH BCQ_5136	Bacillus cereus (strain Q1)	333	GO:0003954; GO:0005886; GO:0009060; GO:0016655	plasma membrane [GO:0005886]; NADH dehydrogenase activity [GO:0003954]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; aerobic respiration [GO:0009060]
B9IRT1	NUOB_BACCQ	NADH-quinone oxidoreductase subunit B (EC 7.1.1.-) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)	nuoB BCQ_5139	Bacillus cereus (strain Q1)	172	GO:0005506; GO:0005886; GO:0008137; GO:0009060; GO:0015990; GO:0045271; GO:0048038; GO:0050136; GO:0051539	plasma membrane [GO:0005886]; respiratory chain complex I [GO:0045271]; 4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; NADH dehydrogenase (quinone) (non-electrogenic) activity [GO:0050136]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]
B9IRT7	ATPB_BACCQ	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD BCQ_5145	Bacillus cereus (strain Q1)	468	GO:0005524; GO:0005886; GO:0045259; GO:0046933	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex [GO:0045259]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
B9IRT9	ATPA_BACCQ	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA BCQ_5147	Bacillus cereus (strain Q1)	502	GO:0005524; GO:0005886; GO:0043531; GO:0045259; GO:0046933	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex [GO:0045259]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
B9IRU2	ATPL_BACCQ	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE BCQ_5150	Bacillus cereus (strain Q1)	72	GO:0005886; GO:0033177; GO:0045259; GO:0046933	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex [GO:0045259]; proton-transporting two-sector ATPase complex, proton-transporting domain [GO:0033177]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
B9IRU7	UPP_BACCQ	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp BCQ_5155	Bacillus cereus (strain Q1)	209	GO:0000287; GO:0004845; GO:0005737; GO:0006223; GO:0044206	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; uracil phosphoribosyltransferase activity [GO:0004845]; UMP salvage [GO:0044206]; uracil salvage [GO:0006223]
B9IRU8	GLYA_BACCQ	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA BCQ_5156	Bacillus cereus (strain Q1)	413	GO:0004372; GO:0005829; GO:0006545; GO:0006563; GO:0030170; GO:0035999	cytosol [GO:0005829]; glycine hydroxymethyltransferase activity [GO:0004372]; pyridoxal phosphate binding [GO:0030170]; glycine biosynthetic process [GO:0006545]; L-serine metabolic process [GO:0006563]; tetrahydrofolate interconversion [GO:0035999]
B9IRW3	KITH_BACCQ	Thymidine kinase (EC 2.7.1.21)	tdk BCQ_5171	Bacillus cereus (strain Q1)	195	GO:0004797; GO:0005524; GO:0005829; GO:0006259; GO:0008270; GO:0046104	cytosol [GO:0005829]; ATP binding [GO:0005524]; thymidine kinase activity [GO:0004797]; zinc ion binding [GO:0008270]; DNA metabolic process [GO:0006259]; thymidine metabolic process [GO:0046104]
B9IS21	CHDC_BACCQ	Coproheme decarboxylase (EC 1.3.98.5) (Coproheme III oxidative decarboxylase) (Hydrogen peroxide-dependent heme synthase)	chdC BCQ_5229	Bacillus cereus (strain Q1)	247	GO:0004601; GO:0006785; GO:0016634; GO:0020037	heme binding [GO:0020037]; oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor [GO:0016634]; peroxidase activity [GO:0004601]; heme B biosynthetic process [GO:0006785]
B9IT52	GLPK_BACCQ	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	glpK BCQ_1104	Bacillus cereus (strain Q1)	496	GO:0004370; GO:0005524; GO:0005829; GO:0006071; GO:0006072; GO:0019563	cytosol [GO:0005829]; ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; glycerol catabolic process [GO:0019563]; glycerol metabolic process [GO:0006071]; glycerol-3-phosphate metabolic process [GO:0006072]
B9ITE8	ADDB_BACCQ	ATP-dependent helicase/deoxyribonuclease subunit B (EC 3.1.-.-) (ATP-dependent helicase/nuclease subunit AddB)	addB BCQ_1200	Bacillus cereus (strain Q1)	1171	GO:0000724; GO:0003690; GO:0005524; GO:0008409; GO:0051536	5'-3' exonuclease activity [GO:0008409]; ATP binding [GO:0005524]; double-stranded DNA binding [GO:0003690]; iron-sulfur cluster binding [GO:0051536]; double-strand break repair via homologous recombination [GO:0000724]
B9ITE9	ADDA_BACCQ	ATP-dependent helicase/nuclease subunit A (EC 3.1.-.-) (EC 5.6.2.4) (ATP-dependent helicase/nuclease AddA) (DNA 3'-5' helicase AddA)	addA BCQ_1201	Bacillus cereus (strain Q1)	1241	GO:0000724; GO:0003690; GO:0005524; GO:0005829; GO:0008408; GO:0016887; GO:0033202; GO:0043138	cytosol [GO:0005829]; DNA helicase complex [GO:0033202]; 3'-5' DNA helicase activity [GO:0043138]; 3'-5' exonuclease activity [GO:0008408]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; double-stranded DNA binding [GO:0003690]; double-strand break repair via homologous recombination [GO:0000724]
B9ITF9	OAT_BACCQ	Ornithine aminotransferase (OAT) (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	rocD BCQ_1211	Bacillus cereus (strain Q1)	396	GO:0004587; GO:0005737; GO:0030170; GO:0042802; GO:0055129	cytoplasm [GO:0005737]; identical protein binding [GO:0042802]; L-ornithine transaminase activity [GO:0004587]; pyridoxal phosphate binding [GO:0030170]; L-proline biosynthetic process [GO:0055129]
B9IUG8	HUTI_BACCQ	Imidazolonepropionase (EC 3.5.2.7) (Imidazolone-5-propionate hydrolase)	hutI BCQ_3450	Bacillus cereus (strain Q1)	423	GO:0005506; GO:0005737; GO:0006548; GO:0008270; GO:0050480	cytoplasm [GO:0005737]; imidazolonepropionase activity [GO:0050480]; iron ion binding [GO:0005506]; zinc ion binding [GO:0008270]; L-histidine catabolic process [GO:0006548]
B9IUG9	HUTU_BACCQ	Urocanate hydratase (Urocanase) (EC 4.2.1.49) (Imidazolonepropionate hydrolase)	hutU BCQ_3451	Bacillus cereus (strain Q1)	552	GO:0005737; GO:0006548; GO:0016153	cytoplasm [GO:0005737]; urocanate hydratase activity [GO:0016153]; L-histidine catabolic process [GO:0006548]
B9IUL2	LEXA_BACCQ	LexA repressor (EC 3.4.21.88)	lexA BCQ_3494	Bacillus cereus (strain Q1)	206	GO:0003677; GO:0004252; GO:0006260; GO:0006281; GO:0006508; GO:0009432; GO:0045892	DNA binding [GO:0003677]; serine-type endopeptidase activity [GO:0004252]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; negative regulation of DNA-templated transcription [GO:0045892]; proteolysis [GO:0006508]; SOS response [GO:0009432]
B9IUM7	MIAA_BACCQ	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)	miaA BCQ_3509	Bacillus cereus (strain Q1)	317	GO:0005524; GO:0006400; GO:0052381	ATP binding [GO:0005524]; tRNA dimethylallyltransferase activity [GO:0052381]; tRNA modification [GO:0006400]
B9IUR5	PHNX_BACCQ	Phosphonoacetaldehyde hydrolase (Phosphonatase) (EC 3.11.1.1) (Phosphonoacetaldehyde phosphonohydrolase)	phnX BCQ_1398	Bacillus cereus (strain Q1)	264	GO:0000287; GO:0005829; GO:0006281; GO:0008967; GO:0019700; GO:0050194	cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; phosphoglycolate phosphatase activity [GO:0008967]; phosphonoacetaldehyde hydrolase activity [GO:0050194]; DNA repair [GO:0006281]; organic phosphonate catabolic process [GO:0019700]
B9IUT0	QUEC_BACCQ	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC BCQ_1413	Bacillus cereus (strain Q1)	220	GO:0005524; GO:0008270; GO:0008616; GO:0016879	ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; zinc ion binding [GO:0008270]; tRNA queuosine(34) biosynthetic process [GO:0008616]
B9IUT3	QUEF_BACCQ	NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13) (7-cyano-7-carbaguanine reductase) (NADPH-dependent nitrile oxidoreductase) (PreQ(0) reductase)	queF BCQ_1416	Bacillus cereus (strain Q1)	165	GO:0005737; GO:0008616; GO:0033739	cytoplasm [GO:0005737]; preQ1 synthase activity [GO:0033739]; tRNA queuosine(34) biosynthetic process [GO:0008616]
B9IUW2	DLTA_BACCQ	D-alanine--D-alanyl carrier protein ligase (DCL) (EC 6.2.1.54) (D-alanine--poly(phosphoribitol) ligase subunit 1) (D-alanine-activating enzyme) (DAE)	dltA BCQ_1445	Bacillus cereus (strain Q1)	504	GO:0005524; GO:0005737; GO:0047473; GO:0070395	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; D-alanine [D-alanyl carrier protein] ligase activity [GO:0047473]; lipoteichoic acid biosynthetic process [GO:0070395]
B9IUZ0	LEU1_BACCQ	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	leuA BCQ_1473	Bacillus cereus (strain Q1)	506	GO:0003852; GO:0003985; GO:0005737; GO:0009098; GO:0030145	cytoplasm [GO:0005737]; 2-isopropylmalate synthase activity [GO:0003852]; acetyl-CoA C-acetyltransferase activity [GO:0003985]; manganese ion binding [GO:0030145]; L-leucine biosynthetic process [GO:0009098]
B9IUZ2	LEUC_BACCQ	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuC BCQ_1475	Bacillus cereus (strain Q1)	464	GO:0003861; GO:0009098; GO:0051539	3-isopropylmalate dehydratase activity [GO:0003861]; 4 iron, 4 sulfur cluster binding [GO:0051539]; L-leucine biosynthetic process [GO:0009098]
B9IUZ8	HIS5_BACCQ	Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)	hisH BCQ_1481	Bacillus cereus (strain Q1)	209	GO:0000105; GO:0000107; GO:0004359; GO:0005737	cytoplasm [GO:0005737]; glutaminase activity [GO:0004359]; imidazoleglycerol-phosphate synthase activity [GO:0000107]; L-histidine biosynthetic process [GO:0000105]
B9IV00	HIS6_BACCQ	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	hisF BCQ_1483	Bacillus cereus (strain Q1)	252	GO:0000105; GO:0000107; GO:0005737	cytoplasm [GO:0005737]; imidazoleglycerol-phosphate synthase activity [GO:0000107]; L-histidine biosynthetic process [GO:0000105]
B9IV01	HIS3_BACCQ	Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19)	hisI BCQ_1484	Bacillus cereus (strain Q1)	101	GO:0000105; GO:0000287; GO:0004635; GO:0004636; GO:0005737; GO:0008270	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; phosphoribosyl-AMP cyclohydrolase activity [GO:0004635]; phosphoribosyl-ATP diphosphatase activity [GO:0004636]; zinc ion binding [GO:0008270]; L-histidine biosynthetic process [GO:0000105]
